date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:02	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d248ca-24a3%22	https://dawgs.run/robots.txt		(from )
21:45:02	7574/7574	---M-Z	200	added ('OK')	text/html	etag:W/%2266fb26d5-1d96%22	https://dawgs.run/	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/index.html	(from )
21:45:02	6274/6274	---M-Z	200	added ('OK')	text/css	etag:W/%2266fb26d5-1882%22	https://dawgs.run/assets/main.css	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/assets/main.css	(from https://dawgs.run/)
21:45:02	3453/3453	---M-Z	200	added ('OK')	application/xml	etag:W/%2266fb26d5-d7d%22	https://dawgs.run/feed.xml	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/feed.xml	(from https://dawgs.run/)
21:45:03	311/311	---M-Z	200	added ('OK')	text/css	etag:W/%2266fb26d5-137%22	https://dawgs.run/css/custom.css	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/css/custom.css	(from https://dawgs.run/)
21:45:03	3710/3710	---M-Z	200	added ('OK')	text/css	etag:W/%2266fb26d5-e7e%22	https://dawgs.run/css/simplegrid.css	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/css/simplegrid.css	(from https://dawgs.run/)
21:45:03	69098/69098	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-10dea%22	https://dawgs.run/assets/logo_white.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/assets/logo_white.png	(from https://dawgs.run/)
21:45:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Aug%202025%2001:45:03%20GMT	https://dawgs.run/join_us	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/join_us	(from https://dawgs.run/)
21:45:04	7308/7308	---M-Z	200	added ('OK')	text/html	etag:W/%2266fb26d5-1c8c%22	https://dawgs.run/join_us/	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/join_us/index.html	(from https://dawgs.run/)
21:45:04	11076/11076	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-2b44%22	https://dawgs.run/assets/discord.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/assets/discord.png	(from https://dawgs.run/)
21:45:05	376933/376933	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-5c065%22	https://dawgs.run/assets/instagram.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/assets/instagram.png	(from https://dawgs.run/)
21:45:05	9467/9467	---M-Z	200	added ('OK')	text/html	etag:W/%2266fb26d5-24fb%22	https://dawgs.run/routes/	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/routes/index.html	(from https://dawgs.run/)
21:45:05	7845/7845	---M-Z	200	added ('OK')	text/html	etag:W/%2266fb26d5-1ea5%22	https://dawgs.run/officers/	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/index.html	(from https://dawgs.run/)
21:45:05	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Aug%202025%2001:45:05%20GMT	https://dawgs.run/routes	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/routes	(from https://dawgs.run/join_us/)
